[j]2026/02/12 11:03:53 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.4268e-05, layer transfer time: 4.3416e-05, total time: 6.7684e-05, layer compressed size: 424 
[j]2026/02/12 11:03:53 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8535e-05, layer transfer time: 5.4609e-05, total time: 8.3144e-05, layer compressed size: 2299 
[j]2026/02/12 11:03:53 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8669e-05, layer transfer time: 6.0562e-05, total time: 8.9231e-05, layer compressed size: 2299 
[j]2026/02/12 11:03:53 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 4.8539e-05, layer transfer time: 5.6534e-05, total time: 0.00010507299999999999, layer compressed size: 2299 
[j]2026/02/12 11:03:54 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.016436666, layer transfer time: 0.062506691, total time: 0.078943357, layer compressed size: 26704806 
[j]2026/02/12 11:03:54 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.6795e-05, layer transfer time: 4.88e-05, total time: 7.5595e-05, layer compressed size: 424 
[j]2026/02/12 11:03:54 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.7381e-05, layer transfer time: 4.2696e-05, total time: 7.0077e-05, layer compressed size: 1334 
[j]2026/02/12 11:03:54 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.7373e-05, layer transfer time: 8.1146e-05, total time: 0.00011851900000000001, layer compressed size: 2299 
[j]2026/02/12 11:03:54 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8356e-05, layer transfer time: 4.4293e-05, total time: 7.2649e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:54 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.8456e-05, layer transfer time: 4.6603e-05, total time: 7.5059e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:54 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.0002e-05, layer transfer time: 4.6399e-05, total time: 7.6401e-05, layer compressed size: 424 
