[j]2026/02/25 12:06:23 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.265910245, layer transfer time: 0.148871186, total time: 0.414781431, layer compressed size: 28227259 
[j]2026/02/25 12:06:23 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.545761982, layer transfer time: 0.00044522, total time: 0.5462072020000001, layer compressed size: 950 
[j]2026/02/25 12:06:24 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.414120913, layer transfer time: 4.6969e-05, total time: 0.414167882, layer compressed size: 6 
[j]2026/02/25 12:06:24 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.502014074, layer transfer time: 0.170778957, total time: 0.672793031, layer compressed size: 43916545 
[j]2026/02/25 12:06:25 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.405104263, layer transfer time: 5.6568e-05, total time: 0.405160831, layer compressed size: 1213 
[j]2026/02/25 12:06:25 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.427174645, layer transfer time: 5.8711e-05, total time: 0.427233356, layer compressed size: 1410 
[j]2026/02/25 12:06:25 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.309425098, layer transfer time: 5.0168e-05, total time: 0.309475266, layer compressed size: 6 
[j]2026/02/25 12:06:26 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.448763638, layer transfer time: 0.0693353, total time: 0.5180989380000001, layer compressed size: 28230129 
[j]2026/02/25 12:06:26 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.410694598, layer transfer time: 0.208373402, total time: 0.6190680000000001, layer compressed size: 44151007 
[j]2026/02/25 12:06:27 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.385699768, layer transfer time: 0.000241401, total time: 0.385941169, layer compressed size: 950 
[j]2026/02/25 12:06:27 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.393559268, layer transfer time: 5.479e-05, total time: 0.39361405800000004, layer compressed size: 393 
[j]2026/02/25 12:06:27 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.402419312, layer transfer time: 6.0028e-05, total time: 0.40247933999999996, layer compressed size: 1213 
[j]2026/02/25 12:06:27 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.454131562, layer transfer time: 5.8121e-05, total time: 0.454189683, layer compressed size: 1410 
[j]2026/02/25 12:06:27 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.115263056, layer transfer time: 0.130133517, total time: 0.245396573, layer compressed size: 29778632 
[j]2026/02/25 12:06:28 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.066184316, layer transfer time: 0.086850363, total time: 0.153034679, layer compressed size: 33139958 
[j]2026/02/25 12:06:28 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.446218634, layer transfer time: 5.3488e-05, total time: 0.446272122, layer compressed size: 1213 
[j]2026/02/25 12:06:28 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.481816369, layer transfer time: 5.0553e-05, total time: 0.48186692200000003, layer compressed size: 951 
[j]2026/02/25 12:06:28 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.489374555, layer transfer time: 5.149e-05, total time: 0.489426045, layer compressed size: 393 
[j]2026/02/25 12:06:28 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.225916544, layer transfer time: 3.2416e-05, total time: 0.22594896, layer compressed size: 6 
[j]2026/02/25 12:06:29 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.888e-06, ssd time: 0, layer transfer time: 6.1238e-05, total time: 6.4126e-05, layer compressed size: 950 
[j]2026/02/25 12:06:29 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.400754823, layer transfer time: 0.000247977, total time: 0.4010028, layer compressed size: 1410 
[j]2026/02/25 12:06:29 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 1.972e-06, ssd time: 0, layer transfer time: 7.872e-05, total time: 8.0692e-05, layer compressed size: 6 
[j]2026/02/25 12:06:30 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.064545622, layer transfer time: 0.115750886, total time: 0.180296508, layer compressed size: 28227259 
[j]2026/02/25 12:06:30 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.098483807, layer transfer time: 0.126771443, total time: 0.22525525000000002, layer compressed size: 43916545 
[j]2026/02/25 12:06:30 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.014e-06, ssd time: 0, layer transfer time: 4.893e-05, total time: 5.1944e-05, layer compressed size: 393 
[j]2026/02/25 12:06:31 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 4.467e-06, ssd time: 0, layer transfer time: 9.2848e-05, total time: 9.7315e-05, layer compressed size: 1213 
[j]2026/02/25 12:06:31 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.022150158, layer transfer time: 0.098278065, total time: 0.120428223, layer compressed size: 44151007 
